Timestamp,Session_Code,Participant_ID,Group_ID,Treatment,Round,Survey Page,Question,Response
2025-06-12T06:05:21.936790,hfl1fp5v,3,2,priming,1,Priming,Priming,qp1,2
2025-06-12T06:05:21.939331,hfl1fp5v,3,2,priming,1,Priming,Priming,qp3,3
2025-06-12T06:05:24.980551,hfl1fp5v,2,2,priming,1,Priming,Priming,qp1,3
2025-06-12T06:05:24.981714,hfl1fp5v,2,2,priming,1,Priming,Priming,qp3,3
2025-06-12T06:05:27.890146,hfl1fp5v,1,2,priming,1,Priming,Priming,qp1,4
2025-06-12T06:05:27.891194,hfl1fp5v,1,2,priming,1,Priming,Priming,qp3,4
2025-06-12T06:11:15.939297,88zkteu0,3,2,priming,1,Priming,Priming,qp1,2
2025-06-12T06:11:15.941812,88zkteu0,3,2,priming,1,Priming,Priming,qp3,2
2025-06-12T06:11:18.475983,88zkteu0,2,2,priming,1,Priming,Priming,qp1,3
2025-06-12T06:11:18.477078,88zkteu0,2,2,priming,1,Priming,Priming,qp3,3
2025-06-12T06:11:21.414026,88zkteu0,1,2,priming,1,Priming,Priming,qp1,3
2025-06-12T06:11:21.415086,88zkteu0,1,2,priming,1,Priming,Priming,qp3,4
2025-06-12T06:12:57.258993,88zkteu0,1,2,priming,2,Part1,Part1,cmt_propr,12
2025-06-12T06:12:57.262103,88zkteu0,1,2,priming,2,Part1,Part1,cmt_vtr,21
2025-06-12T06:13:01.166160,88zkteu0,1,2,priming,2,Part2,Part2,age,18
2025-06-12T06:13:01.167820,88zkteu0,1,2,priming,2,Part2,Part2,risk,2
2025-06-12T06:13:01.167851,88zkteu0,1,2,priming,2,Part2,Part2,occ,student
2025-06-12T06:13:07.043463,88zkteu0,1,2,priming,2,Part3,Part3,power_q1a,2
2025-06-12T06:13:07.045063,88zkteu0,1,2,priming,2,Part3,Part3,power_q1b,3
2025-06-12T06:13:07.045093,88zkteu0,1,2,priming,2,Part3,Part3,power_q2,3
2025-06-12T06:13:07.045115,88zkteu0,1,2,priming,2,Part3,Part3,power_q3,3
2025-06-12T06:13:11.168682,88zkteu0,1,2,priming,2,Part4,Part4,atq_1,12
2025-06-12T06:13:11.170502,88zkteu0,1,2,priming,2,Part4,Part4,atq_2,22
2025-06-12T06:13:11.170542,88zkteu0,1,2,priming,2,Part4,Part4,atq_3,21
2025-06-12T06:13:16.176066,88zkteu0,1,2,priming,2,Part5,Part5,econ,123
2025-06-12T06:13:16.177729,88zkteu0,1,2,priming,2,Part5,Part5,party_like,2
2025-06-12T06:13:16.177771,88zkteu0,1,2,priming,2,Part5,Part5,party,
2025-06-12T06:13:16.177804,88zkteu0,1,2,priming,2,Part5,Part5,other_party,
2025-06-12T06:13:16.177835,88zkteu0,1,2,priming,2,Part5,Part5,party_prox,
2025-06-12T06:13:22.029257,88zkteu0,1,2,priming,2,Part6,Part6,plop_unempl,3
2025-06-12T06:13:22.030465,88zkteu0,1,2,priming,2,Part6,Part6,plop_comp,5
2025-06-12T06:13:22.030488,88zkteu0,1,2,priming,2,Part6,Part6,plop_incdist,6
2025-06-12T06:13:22.030506,88zkteu0,1,2,priming,2,Part6,Part6,plop_priv,9
2025-06-12T06:13:22.030523,88zkteu0,1,2,priming,2,Part6,Part6,plop_luckeffort,5
2025-06-12T06:13:22.030539,88zkteu0,1,2,priming,2,Part6,Part6,democracy_obedience,7
2025-06-12T06:13:25.917724,88zkteu0,1,2,priming,2,Part7,Part7,rel,1
2025-06-12T06:13:25.919193,88zkteu0,1,2,priming,2,Part7,Part7,rel_spec,3
2025-06-12T06:13:25.919216,88zkteu0,1,2,priming,2,Part7,Part7,rel_other,
2025-06-12T06:13:30.207630,88zkteu0,1,2,priming,2,GenderAttitudes,GenderAttitudes,gender_q1,2
2025-06-12T06:13:30.209092,88zkteu0,1,2,priming,2,GenderAttitudes,GenderAttitudes,gender_q2,3
2025-06-12T06:13:30.209123,88zkteu0,1,2,priming,2,GenderAttitudes,GenderAttitudes,gender_q3,3
2025-06-12T06:13:30.209147,88zkteu0,1,2,priming,2,GenderAttitudes,GenderAttitudes,gender_q4,2
2025-06-12T06:13:34.155207,88zkteu0,1,2,priming,2,MWC_BONUS,MWC_BONUS,mwc_bonus,4
2025-06-12T06:13:34.156508,88zkteu0,1,2,priming,2,MWC_BONUS,MWC_BONUS,mwc_bonus_others,5
2025-06-12T06:13:41.419783,88zkteu0,1,2,priming,2,SchwartzHierarchy,SchwartzHierarchy,social_power,4
2025-06-12T06:13:41.424341,88zkteu0,1,2,priming,2,SchwartzHierarchy,SchwartzHierarchy,wealth,5
2025-06-12T06:13:41.424356,88zkteu0,1,2,priming,2,SchwartzHierarchy,SchwartzHierarchy,authority,6
2025-06-12T06:13:41.424365,88zkteu0,1,2,priming,2,SchwartzHierarchy,SchwartzHierarchy,humble,7
2025-06-12T06:13:41.424373,88zkteu0,1,2,priming,2,SchwartzHierarchy,SchwartzHierarchy,influential,6
2025-06-12T06:13:48.687802,88zkteu0,1,2,priming,2,Part8,Part8,retaliation,4
2025-06-12T06:13:48.689269,88zkteu0,1,2,priming,2,Part8,Part8,retaliation_other,5
2025-06-12T06:13:54.660004,88zkteu0,1,2,priming,2,Bonus,Bonus,bonus,bargaining
2025-06-12T06:13:54.661413,88zkteu0,1,2,priming,2,Bonus,Bonus,enjoy,4
